<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MM;D;20170713;000000;111.59315068493092;1
MM;D;20170714;000000;111.61780821917749;1
MM;D;20170718;000000;111.71643835616379;1
MM;D;20170719;000000;111.74109589041036;1
MM;D;20170720;000000;111.76575342465694;1
MM;D;20170721;000000;111.79041095890351;1
MM;D;20170724;000000;111.86438356164324;1
MM;D;20170725;000000;111.88904109588981;1
MM;D;20170726;000000;111.91369863013638;1
MM;D;20170727;000000;111.93835616438295;1
MM;D;20170728;000000;111.96301369862952;1
MM;D;20170731;000000;112.03698630136925;1
MM;D;20170801;000000;112.06164383561583;1
MM;D;20170802;000000;112.0863013698624;1
MM;D;20170803;000000;112.11095890410897;1
MM;D;20170804;000000;112.13561643835554;1
MM;D;20170807;000000;112.20958904109527;1
MM;D;20170808;000000;112.23424657534184;1
MM;D;20170809;000000;112.25890410958841;1
MM;D;20170810;000000;112.28356164383499;1
MM;D;20170811;000000;112.30821917808156;1
MM;D;20170814;000000;112.38219178082129;1
MM;D;20170815;000000;112.40684931506786;1
MM;D;20170816;000000;112.43150684931443;1
MM;D;20170817;000000;112.456164383561;1
MM;D;20170818;000000;112.48082191780757;1
MM;D;20170821;000000;112.5547945205473;1
MM;D;20170822;000000;112.57945205479388;1
MM;D;20170823;000000;112.60410958904045;1
MM;D;20170824;000000;112.62876712328702;1
MM;D;20170825;000000;112.65342465753359;1
MM;D;20170828;000000;112.72739726027332;1
MM;D;20170829;000000;112.75205479451989;1
MM;D;20170830;000000;112.77671232876646;1
MM;D;20170831;000000;112.80136986301304;1
MM;D;20170901;000000;112.82602739725961;1
MM;D;20170904;000000;112.89999999999934;1
MM;D;20170905;000000;112.92465753424591;1
MM;D;20170906;000000;112.94931506849248;1
MM;D;20170907;000000;112.97397260273905;1
MM;D;20170908;000000;112.99863013698562;1
MM;D;20170911;000000;113.07260273972535;1
MM;D;20170912;000000;113.09726027397193;1
MM;D;20170913;000000;113.1219178082185;1
MM;D;20170914;000000;113.14657534246507;1
MM;D;20170915;000000;113.17123287671164;1
MM;D;20170918;000000;113.24109589041028;1
MM;D;20170919;000000;113.26438356164316;1
MM;D;20170920;000000;113.28767123287604;1
MM;D;20170921;000000;113.31095890410892;1
MM;D;20170922;000000;113.3342465753418;1
MM;D;20170925;000000;113.40410958904043;1
MM;D;20170926;000000;113.42739726027331;1
MM;D;20170927;000000;113.45068493150619;1
MM;D;20170928;000000;113.47397260273907;1
MM;D;20170929;000000;113.49726027397195;1
MM;D;20171002;000000;113.56712328767058;1
MM;D;20171003;000000;113.59041095890346;1
MM;D;20171004;000000;113.61369863013634;1
MM;D;20171005;000000;113.63698630136922;1
MM;D;20171006;000000;113.6602739726021;1
MM;D;20171009;000000;113.73013698630074;1
MM;D;20171010;000000;113.75342465753361;1
MM;D;20171011;000000;113.7767123287665;1
MM;D;20171012;000000;113.79999999999937;1
MM;D;20171013;000000;113.82328767123225;1
MM;D;20171016;000000;113.89315068493089;1
MM;D;20171017;000000;113.91643835616377;1
MM;D;20171018;000000;113.93972602739665;1
MM;D;20171019;000000;113.96301369862952;1
MM;D;20171020;000000;113.9863013698624;1
MM;D;20171023;000000;114.05616438356104;1
MM;D;20171024;000000;114.07945205479392;1
MM;D;20171025;000000;114.1027397260268;1
MM;D;20171026;000000;114.12602739725968;1
MM;D;20171027;000000;114.14931506849256;1
MM;D;20171030;000000;114.21712328767063;1
MM;D;20171031;000000;114.23972602739666;1
